Lecture_File,Lecture_Title,Matching_Question_File,Questions_In_Lecture,Percentage_of_Total,Cumulative_Percentage
4.pdf,DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL,lec 4.pdf,108,20.81,20.81
2.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING,lec 2.pdf,98,18.88,39.69
8.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 08 – DATABASE SECURITY,lec 8.pdf,72,13.87,53.559999999999995
5.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING,lec 5.pdf,62,11.95,65.50999999999999
6.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 06 – JAVA DATABASE CONNECTIVITY,lec 6.pdf,51,9.83,75.33999999999999
7.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 07 – DATABASE UTILITIES,lec 7.pdf,51,9.83,85.16999999999999
3.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 03- SCHEMA REFINEMENT,lec 3.pdf,40,7.71,92.87999999999998
1.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 01- INTRODUCTION TO DBMS AND DATABASE DESIGN PROCESS,lec 1.pdf,37,7.13,100.00999999999998
